_id,topic,weight
6234006128a0c11b54da3262,20, 0.17917122
6234006428a0c11b54da3263,7, 0.13026027
6234006428a0c11b54da3263,8, 0.3097921
6234006428a0c11b54da3263,12, 0.44121352
6234006428a0c11b54da3263,18, 0.097725324
6234006628a0c11b54da3264,7, 0.34665462
6234006628a0c11b54da3264,8, 0.28928575
6234006628a0c11b54da3264,18, 0.15360926
6234006628a0c11b54da3264,20, 0.18831776
6234006828a0c11b54da3265,1, 0.046720866
6234006828a0c11b54da3265,8, 0.70922464
6234006828a0c11b54da3265,14, 0.0836825
6234006828a0c11b54da3265,16, 0.029480016
6234006828a0c11b54da3265,20, 0.1137
6234006b28a0c11b54da3266,6, 0.11702432
6234006b28a0c11b54da3266,7, 0.36315864
6234006b28a0c11b54da3266,9, 0.08150779
6234006b28a0c11b54da3266,18, 0.1329921
6234006b28a0c11b54da3266,20, 0.2873294
6234006d28a0c11b54da3267,7, 0.41615435
6234006d28a0c11b54da3267,9, 0.08627708
6234006d28a0c11b54da3267,18, 0.1368311
6234006d28a0c11b54da3267,20, 0.34169507
6234007428a0c11b54da3268,8, 0.2597449
6234007428a0c11b54da3268,17, 0.12381262
6234007428a0c11b54da3268,18, 0.39340225
6234007428a0c11b54da3268,20, 0.19575147
6234007628a0c11b54da3269,5, 0.17356211
6234007628a0c11b54da3269,8, 0.43184736
6234007628a0c11b54da3269,18, 0.23349017
6234007628a0c11b54da3269,20, 0.13896517
6234007828a0c11b54da326a,4, 0.21347529
6234007828a0c11b54da326a,8, 0.2155315
6234007828a0c11b54da326a,14, 0.26895267
6234007828a0c11b54da326a,18, 0.1830689
6234007828a0c11b54da326a,20, 0.10178165
6234007b28a0c11b54da326b,7, 0.19702359
6234007b28a0c11b54da326b,17, 0.22665288
6234007b28a0c11b54da326b,18, 0.22312364
6234007b28a0c11b54da326b,20, 0.11902461
6234007b28a0c11b54da326b,21, 0.21618457
6234007d28a0c11b54da326c,8, 0.08639159
6234007d28a0c11b54da326c,17, 0.09855801
6234007d28a0c11b54da326c,18, 0.31125692
6234007d28a0c11b54da326c,19, 0.31640506
6234007d28a0c11b54da326c,20, 0.16756204
6234008128a0c11b54da326d,7, 0.38110906
6234008128a0c11b54da326d,18, 0.28178805
6234008128a0c11b54da326d,20, 0.3165271
6234008328a0c11b54da326e,1, 0.10185111
6234008328a0c11b54da326e,2, 0.26301795
6234008328a0c11b54da326e,8, 0.4961194
6234008328a0c11b54da326e,18, 0.11903227
6234008528a0c11b54da326f,2, 0.15188912
6234008528a0c11b54da326f,7, 0.31929198
6234008528a0c11b54da326f,8, 0.5071955
6234008828a0c11b54da3270,6, 0.0741133
6234008828a0c11b54da3270,8, 0.11468385
6234008828a0c11b54da3270,9, 0.06830409
6234008828a0c11b54da3270,17, 0.4848231
6234008828a0c11b54da3270,18, 0.12544142
6234008828a0c11b54da3270,20, 0.116466045
6234008a28a0c11b54da3271,5, 0.02351632
6234008a28a0c11b54da3271,8, 0.6099958
6234008a28a0c11b54da3271,18, 0.22712404
6234008a28a0c11b54da3271,20, 0.11888947
6234008c28a0c11b54da3272,2, 0.5698526
6234008c28a0c11b54da3272,17, 0.06377902
