ID,Category,"Is related to researchers (yes=1, no=0, unknown=2)"
12131704,Explosive initiators,0
30131502,Concrete blocks,0
72101600,Roofing and siding and sheet metal work,0
30222900,Defence structures,0
44122012,Clipboards,0
41115200,Radar and sonar systems and components,0
60101809,Religious product kits or supplies,0
27111802,Levels,0
31151901,Metal straps,0
81141504,Equipment test calibration or repair,0
60101401,Badges,0
80121607,Taxation law,0
76131601,Toxic spill containment,0
42120000,Veterinary equipment and supplies,0
47101514,Water purification equipment,0
30120000,Roads and landscape,0
32101500,Circuit assemblies and radio frequency RF components,0
14111806,Business forms or questionnaires,0
25171700,Braking systems and components,0
49151500,Skiing and snowboarding equipment,0
20122400,Production systems equipment,0
56101504,Chairs,0
91101501,Health or fitness clubs,0
52161600,Audio visual equipment accessories,0
26121641,Installation cables,0
70141605,Integrated pest management services,0
80111617,Architectural services,0
93141707,Cultural heritage preservation or promotion services,2
81151705,Archaeological services,2
49101701,Medals,0
77101500,Environmental impact assessment,2
81111811,Technical support or help desk services,0
72102205,Telecom equipment maintenance or support,0
23101515,Engraving machines,0
81101500,Civil engineering,0
80141602,Public relation services,0
84111703,Budget preparation or review services,0
83101800,Electric utilities,0
92121500,Guard services,0
52161518,Global positioning system receivers,0
39121533,Switch parts or accessories,0
30222014,Airfield,0
80101508,Business intelligence consulting services,0
90101700,Cafeteria services,0
41113114,Thermal conductivity analysers,0
81151604,Land surveying,0
80111711,Permanent information technology software developers,0
55121500,Tags,0
14111509,Stationery,0
45111603,Projection screens or displays,0
80141614,Public relations programs or services,0
30222501,Residential homes,0
70171605,Water rights advisory services,0
49241510,Rope climbing equipment,0
81151904,Aero magnetic geophysics,0
20142400,Ocean floor equipment,0
85121608,Psychologists services,0
43212100,Computer printers,0
80141506,Internet based market research,0
47131905,Spill kits,0
93141908,Agrarian reform or land settlement services,0
81101605,Electromechanical services,0
25172500,Tyres and tyre tubes,0
93151509,Government information services,0
30222013,Airport control tower,0
60105412,Violence avoidance education or violence prevention instructional materials,0
41105803,Transcription or translation systems or kits,0
43191600,Personal communications device accessories or parts,0
80111609,Temporary information technology systems or database administrators,0
86141704,Library or documentation services,0
49240000,Recreation and playground and swimming and spa equipment and supplies,0
32101525,Power dividers,0
41111711,Electron microscopes,0
41115703,Gas chromatographs,0
43231500,Business function specific software,0
77101604,Natural resources management or conservation strategy planning services,2
43222605,Network gateway,0
32101517,Couplers,0
52131600,Blinds and shades,0
46140000,Launchers,0
84121500,Banking institutions,0
85101700,Health administration services,0
80131503,Land leases,0
56101510,Partitions,0
72102903,Parking lot or road maintenance or repairs or services,0
43231600,Finance accounting and enterprise resource planning ERP software,0
40151532,Fuel pumps,0
81111804,Wide area network WAN maintenance or support,0
90101701,On site cafeteria management,0
85101701,Health policy,2
24141504,Tamper proof or security seals,0
43233413,Voice recognition software,0
78111800,Passenger road transportation,0
80161502,Meeting planning services,0
85101605,Home health assistants,0
78111807,Parking fees,0
83101601,Supply of natural gas,0
82151504,Sculptors services,0
25102002,Armoured fighting vehicles,0
72131600,Commercial or industrial construction,0
78101701,Domestic vessel transport services,0
52161500,Audio and visual equipment,0
90111601,Conference centres,0
39111504,Stage or studio lighting systems,0
83111800,Television services,0
70111713,Parks management or maintenance services,0
60105103,Altitude measuring devices,0
45121601,Camera flashes or lighting,0
83112200,Enhanced telecommunications services,0
81111500,Software or hardware engineering,0
42211707,Telecommunication devices TDD or teletypewriters TTYfor the physically challenged,0
84101604,Government aid,2
45111900,Phone and video conference equipment and hardware and controllers,0
93141513,Social justice or legislation services,0
83111902,Amateur radio networks or services,0
43232402,Development environment software,0
30222026,Lighthouse,0
27112709,Power saws,0
60101100,Electronic learning aids,0
81121500,Economic analysis,2
80101603,Economic or financial evaluation of projects,0
80111701,Staff recruiting services,0
43222501,Firewall network security equipment,0
41111929,Radiation detectors,0
15121521,Pump lubricating oils,0
43232202,Document management software,0
86111700,Language schooling,0
85121809,Blood or sperm or transplant organ banks services,0
31180000,Gaskets and seals,0
78111500,Passenger air transportation,0
42182419,Hearing control apparatus,0
42203000,Medical linear accelerators and related products,0
70141603,Weed control services,0
94131605,International aid assistance services,0
30201714,Site offices,0
26101718,Engine ignition systems,0
82121800,Publishing,0
81141801,Safety or risk analysis,0
24111501,Canvas bags,0
40161500,Filters,0
