id,topics
GrantsGO728,"[(4, 0.15679583), (15, 0.26256868), (16, 0.07556735), (18, 0.41308656), (19, 0.060848117)]"
GrantsGO730,"[(3, 0.18949284), (4, 0.13978375), (7, 0.05488108), (19, 0.11017808), (21, 0.48017168)]"
GrantsGO732,"[(4, 0.60207653), (11, 0.036179285), (15, 0.16050991), (16, 0.05584501), (19, 0.11509881)]"
GrantsGO740,"[(4, 0.26635316), (9, 0.10340368), (11, 0.11039012), (15, 0.2840366), (16, 0.07311499), (19, 0.13211313)]"
GrantsGO742,"[(4, 0.24642128), (11, 0.037695713), (15, 0.29759666), (16, 0.2398364), (19, 0.15104823)]"
GrantsGO744,"[(4, 0.14013913), (11, 0.107188106), (13, 0.310339), (15, 0.27187097), (16, 0.03851808), (19, 0.10747107)]"
GrantsGO545,"[(3, 0.32500896), (4, 0.096261226), (11, 0.13761616), (13, 0.085734025), (14, 0.12806256), (19, 0.20571749)]"
GrantsGO756,"[(4, 0.56792057), (13, 0.12150923), (14, 0.033116993), (16, 0.044111617), (19, 0.20629825)]"
GrantsGO330,"[(4, 0.118878394), (8, 0.1730041), (13, 0.093347475), (14, 0.339929), (16, 0.04900686), (19, 0.20368922)]"
GrantsGO542,"[(4, 0.082208395), (10, 0.36279067), (11, 0.15159805), (13, 0.07760892), (14, 0.11116352), (16, 0.03110126), (19, 0.16439642)]"
GrantsGO544,"[(4, 0.08223722), (10, 0.36280096), (11, 0.15160587), (13, 0.07760937), (14, 0.1111203), (16, 0.031101009), (19, 0.1643926)]"
GrantsGO642,"[(0, 0.12410007), (4, 0.09379878), (7, 0.15768126), (10, 0.17086305), (13, 0.089461446), (14, 0.05396011), (16, 0.06695754), (19, 0.21483698)]"
GrantsGO734,"[(3, 0.24407712), (4, 0.20563464), (7, 0.12091613), (11, 0.06343709), (15, 0.33567163)]"
GrantsGO736,"[(4, 0.18180543), (6, 0.07824124), (7, 0.27492312), (11, 0.046263777), (15, 0.3514001), (16, 0.039964814)]"
GrantsGO738,"[(4, 0.13377228), (5, 0.12358873), (15, 0.08485806), (16, 0.054663543), (18, 0.5305616), (19, 0.046452515)]"
GrantsGO848,"[(4, 0.0969257), (9, 0.051036146), (13, 0.3890173), (14, 0.26843393), (16, 0.0589873), (19, 0.100608945)]"
GrantsGO236,"[(4, 0.11237832), (6, 0.24462272), (13, 0.104928434), (16, 0.052779544), (19, 0.45645833)]"
GrantsGO666,"[(4, 0.1104942), (6, 0.45646095), (13, 0.07204016), (16, 0.07808959), (19, 0.26134878)]"
GrantsGO633,"[(1, 0.15468088), (2, 0.2732913), (4, 0.061830822), (11, 0.036021493), (13, 0.2152947), (16, 0.07483477), (19, 0.16347128)]"
GrantsGO697,"[(4, 0.072366685), (5, 0.5044489), (6, 0.047323447), (13, 0.0969075), (16, 0.054300502), (19, 0.20227809)]"
GrantsGO554,"[(4, 0.055440757), (6, 0.056195345), (13, 0.18390398), (16, 0.04539885), (18, 0.4248752), (19, 0.21369554)]"
GrantsGO864,"[(4, 0.09473213), (11, 0.40402094), (13, 0.18445359), (16, 0.046784848), (19, 0.24109502)]"
GrantsGO351,"[(4, 0.07225208), (8, 0.2322795), (11, 0.11269887), (13, 0.08531368), (16, 0.088483386), (19, 0.3816585)]"
GrantsGO768,"[(2, 0.2508327), (4, 0.06366366), (13, 0.35260862), (14, 0.048820555), (16, 0.05943378), (19, 0.20298423)]"
GrantsGO759,"[(4, 0.059728757), (13, 0.17420827), (14, 0.08877125), (15, 0.42078558), (16, 0.032899022), (19, 0.20316848)]"
GrantsGO704,"[(0, 0.11114468), (4, 0.06304218), (13, 0.09708711), (14, 0.17847472), (16, 0.0415763), (19, 0.4877248)]"
GrantsGO709,"[(4, 0.08727026), (13, 0.14146593), (14, 0.08617593), (16, 0.050116595), (19, 0.6098182)]"
GrantsGO505,"[(4, 0.13975286), (7, 0.18837838), (11, 0.21174756), (13, 0.117915034), (14, 0.16166276), (16, 0.037012197), (19, 0.11980238)]"
GrantsGO721,"[(0, 0.084164076), (4, 0.05438122), (7, 0.5672974), (9, 0.03715756), (13, 0.15280028), (19, 0.0832324)]"
GrantsGO401,"[(4, 0.4457824), (11, 0.13129075), (13, 0.089019544), (14, 0.08550036), (16, 0.035629813), (19, 0.18983975)]"
GrantsGO632,"[(2, 0.42367268), (4, 0.08834421), (6, 0.075692), (13, 0.09374845), (16, 0.062516935), (19, 0.22852734)]"
GrantsGO900,"[(4, 0.20128965), (11, 0.059519406), (13, 0.054431066), (15, 0.2203248), (16, 0.05867854), (19, 0.37738457)]"
GrantsGO840,"[(0, 0.17296608), (4, 0.0778756), (6, 0.28118983), (12, 0.070588216), (13, 0.0737062), (16, 0.06276658), (19, 0.23541316)]"
GrantsGO894,"[(1, 0.24101493), (4, 0.0628691), (13, 0.10793637), (14, 0.06441844), (16, 0.175396), (19, 0.260703), (20, 0.06737397)]"
GrantsGO492,"[(4, 0.15545134), (10, 0.078642055), (11, 0.0754907), (13, 0.20022349), (14, 0.2944242), (16, 0.14214803)]"
GrantsGO883,"[(4, 0.1610559), (8, 0.09911699), (11, 0.2798859), (13, 0.072426386), (14, 0.11173629), (15, 0.062346213), (16, 0.029902752), (19, 0.16667512)]"
GrantsGO849,"[(3, 0.16719615), (4, 0.10136652), (6, 0.04900335), (13, 0.07257889), (16, 0.09501192), (17, 0.2950605), (19, 0.19885267)]"
GrantsGO850,"[(3, 0.17364942), (4, 0.17767549), (6, 0.060695384), (13, 0.07482926), (17, 0.25000837), (18, 0.03356835), (19, 0.2077654)]"
GrantsGO692,"[(0, 0.20302333), (4, 0.42949945), (11, 0.11840344), (13, 0.14794518), (14, 0.032768257), (16, 0.041919746)]"
GrantsGO750,"[(4, 0.100435406), (6, 0.26050082), (13, 0.06843517), (16, 0.040926717), (17, 0.2979166), (19, 0.2120161)]"
GrantsGO767,"[(4, 0.12452039), (6, 0.099834986), (11, 0.07660756), (13, 0.13366547), (16, 0.04680577), (17, 0.2841961), (19, 0.20867974)]"
GrantsGO932,"[(4, 0.6156812), (13, 0.11008073), (16, 0.037821468), (19, 0.20714018)]"
GrantsGO860,"[(4, 0.12354649), (13, 0.6615107), (16, 0.031480998), (19, 0.15606306)]"
GrantsGO724,"[(4, 0.11849256), (11, 0.23812705), (13, 0.08866157), (14, 0.16383879), (16, 0.035361387), (19, 0.3333112)]"
GrantsGO882,"[(4, 0.118665986), (11, 0.47360992), (13, 0.09245188), (14, 0.05019839), (15, 0.032677546), (16, 0.030611834), (19, 0.18414576)]"
GrantsGO890,"[(4, 0.217667), (8, 0.09188556), (10, 0.24919794), (13, 0.33107057), (16, 0.07139107)]"
GrantsGO909,"[(3, 0.3329222), (4, 0.11138351), (6, 0.16576916), (13, 0.11443286), (19, 0.24946144)]"
GrantsGO871,"[(4, 0.10862919), (13, 0.15123786), (14, 0.04785679), (16, 0.4381957), (19, 0.22393273)]"
GrantsGO872,"[(4, 0.15102938), (13, 0.06458835), (14, 0.11115632), (16, 0.36965075), (19, 0.27578387)]"
GrantsGO941,"[(4, 0.08340629), (8, 0.04178935), (11, 0.5963404), (16, 0.18614754), (19, 0.061018452)]"
GrantsGO968,"[(4, 0.12073554), (11, 0.0597394), (13, 0.10085332), (14, 0.20569725), (16, 0.045882788), (18, 0.1874721), (19, 0.250678)]"
GrantsGO942,"[(3, 0.23053157), (4, 0.08796846), (6, 0.06718051), (12, 0.1434766), (13, 0.0482648), (17, 0.19839422), (19, 0.20259222)]"
GrantsGO987,"[(4, 0.15862548), (8, 0.052294053), (13, 0.09836833), (14, 0.042403664), (16, 0.39715987), (19, 0.22480012)]"
GrantsGO960,"[(4, 0.099502414), (8, 0.3572063), (13, 0.08920599), (14, 0.101903096), (16, 0.06646313), (19, 0.25853246)]"
GrantsGO839,"[(4, 0.08945234), (6, 0.19784406), (8, 0.28501108), (13, 0.07166236), (16, 0.05020541), (19, 0.28287378)]"
GrantsGO928,"[(4, 0.10869874), (13, 0.09051573), (16, 0.46027187), (19, 0.3088673)]"
GrantsGO896,"[(4, 0.11717273), (11, 0.20205742), (12, 0.09709117), (13, 0.09135918), (14, 0.19735838), (16, 0.03511827), (19, 0.24076883)]"
GrantsGO930,"[(4, 0.22087018), (13, 0.07505779), (14, 0.0634087), (16, 0.057858042), (17, 0.34637278), (19, 0.21345614)]"
GrantsGO1034,"[(4, 0.071005434), (13, 0.08767351), (14, 0.40115917), (16, 0.04219576), (19, 0.36905894)]"
GrantsGO1028,"[(4, 0.07219404), (5, 0.36628684), (11, 0.10147949), (13, 0.07984329), (14, 0.02982788), (16, 0.065440945), (19, 0.26166335)]"
GrantsGO1008,"[(2, 0.1860419), (4, 0.0783134), (8, 0.03086022), (11, 0.103673674), (13, 0.09884132), (14, 0.10397057), (16, 0.12313388), (19, 0.255018)]"
GrantsGO976,"[(4, 0.10483096), (10, 0.4106978), (11, 0.03604915), (13, 0.07650095), (16, 0.039837185), (19, 0.30738467)]"
GrantsGO103,"[(4, 0.09476994), (8, 0.55231744), (13, 0.07794365), (16, 0.03767445), (19, 0.21048598)]"
GrantsGO999,"[(0, 0.10350125), (4, 0.17635693), (6, 0.15670782), (7, 0.18472481), (13, 0.17800419), (16, 0.04505003), (19, 0.13276738)]"
GrantsGO1041,"[(4, 0.15258102), (5, 0.28130683), (11, 0.44923455), (12, 0.04410967), (16, 0.04286046)]"
GrantsGO1047,"[(4, 0.0934962), (6, 0.21477467), (13, 0.09875898), (16, 0.048908334), (19, 0.3107445), (21, 0.20116423)]"
GrantsGO660,"[(4, 0.06667222), (7, 0.58948), (11, 0.07973071), (13, 0.09164289), (14, 0.058048043), (19, 0.09043979)]"
GrantsGO801,"[(4, 0.26004145), (10, 0.09945002), (11, 0.2333186), (13, 0.07098809), (14, 0.033864524), (16, 0.037475813), (19, 0.24564996)]"
GrantsGO973,"[(0, 0.32146364), (4, 0.08059667), (11, 0.21565033), (13, 0.074760444), (14, 0.090031356), (16, 0.03459429), (19, 0.16322227)]"
GrantsGO1084,"[(4, 0.066834725), (6, 0.1607456), (11, 0.103822276), (13, 0.088882394), (16, 0.0349496), (19, 0.52094597)]"
GrantsGO1070,"[(4, 0.12639974), (13, 0.087866366), (14, 0.038909383), (16, 0.08056802), (18, 0.41820118), (19, 0.22349568)]"
GrantsGO984,"[(3, 0.2548281), (4, 0.07790117), (12, 0.09611792), (13, 0.091765486), (14, 0.284724), (19, 0.17262241)]"
GrantsGO951,"[(0, 0.04523322), (3, 0.4038817), (4, 0.07428552), (11, 0.09616151), (13, 0.105484575), (19, 0.24864236)]"
GrantsGO1105,"[(4, 0.12454334), (5, 0.2703336), (13, 0.1261747), (14, 0.05030005), (16, 0.054358874), (19, 0.34043437)]"
GrantsGO1079,"[(4, 0.09289568), (13, 0.0713523), (15, 0.2685409), (16, 0.07980158), (17, 0.28422934), (19, 0.18168421)]"
GrantsGO1076,"[(4, 0.09181867), (13, 0.09695986), (14, 0.039074365), (16, 0.3536118), (19, 0.3883025)]"
GrantsGO1082,"[(4, 0.06862865), (8, 0.13076076), (13, 0.36711144), (16, 0.057048257), (19, 0.24283929), (20, 0.107395105)]"
GrantsGO1043,"[(4, 0.06479965), (13, 0.45239407), (16, 0.036243822), (19, 0.41906774)]"
GrantsGO1139,"[(4, 0.066162035), (7, 0.08266685), (13, 0.56188774), (14, 0.09456216), (16, 0.031573612), (19, 0.13909654)]"
GrantsGO1128,"[(0, 0.1788831), (4, 0.11445597), (13, 0.13826366), (14, 0.08393672), (16, 0.058903), (17, 0.16531706), (19, 0.23455414)]"
GrantsGO1056,"[(4, 0.08618092), (9, 0.28104967), (13, 0.4897717), (14, 0.06386679), (16, 0.046460494)]"
GrantsGO1108,"[(0, 0.2711967), (4, 0.10129444), (11, 0.1408467), (13, 0.15297979), (16, 0.101455174), (19, 0.20848028)]"
